Country,SBP,DBP
Afghanistan,123.10352738414635,77.65252750719512
Albania,130.90805594634148,81.76219654207317
Algeria,127.66388226097561,77.5906814547561
American Samoa,129.7288248121951,81.33436701768292
Andorra,127.35949119024389,79.44113581268293
Angola,128.46461799268295,78.6631230059756
Antigua and Barbuda,124.47822753780487,77.22507214304878
Argentina,125.56291573780487,78.37754587987804
Armenia,130.82101196707316,81.18600566219511
Australia,125.24537874634146,75.91450670865854
Austria,128.1522775317073,79.55225411756098
Azerbaijan,127.8607747817073,79.57298075219512
Bahamas,126.93037766829268,79.35005172719512
Bahrain,127.08720788292683,79.24862267121951
Bangladesh,119.79656529634146,77.17654022646342
Barbados,126.97675927439025,77.70896922365854
Belarus,132.08108828658538,83.25762835646341
Belgium,128.07956718658536,78.0571846752439
Belize,122.70486932682927,76.91172174414635
Benin,128.25895473292684,77.9546477
Bermuda,129.1571745695122,80.65940659158537
Bhutan,123.62552219878047,78.49032621158537
Bolivia,122.65514958780489,74.5553564052439
Bosnia and Herzegovina,129.79736184390242,81.02082698012195
Botswana,130.09649986463415,80.36619315012196
Brazil,129.54155964268293,79.73721123158536
Brunei Darussalam,123.82589875853658,77.22421449487805
Bulgaria,131.44075413292683,81.96470038560976
Burkina Faso,127.05644057682927,78.15531573012196
Burundi,125.22196179146343,75.95102148158536
Cabo Verde,131.97022281829268,78.65091697365854
Cambodia,119.46619352317073,73.8231283235366
Cameroon,127.33273712804878,77.9971368352439
Canada,121.85874974878048,75.74645862353658
Central African Republic,129.09468131219512,79.35079311670731
Chad,128.86273877926828,78.24825550914635
Chile,126.2478956012195,78.78110575585366
China,121.20296025121951,76.59097952402439
China (Hong Kong SAR),122.54291917317073,76.74483525914634
Colombia,123.35158436707317,75.87457830768292
Comoros,127.35300886341464,76.80516137487805
Congo,130.29736273902438,80.03248441036585
Cook Islands,128.9128299390244,78.51337767768293
Costa Rica,123.9651706792683,76.64069010780489
Cote d'Ivoire,130.71241225487805,78.19365847414633
Croatia,131.65291817317075,80.77831658829268
Cuba,123.7343232792683,78.83627006182927
Cyprus,125.3416678414634,77.74972974536585
Czech Republic,129.20413133414635,81.50605577829268
DR Congo,127.9259868902439,77.21000737865853
Denmark,128.0307025195122,79.02546759695122
Djibouti,130.00081085243903,79.55236484560976
Dominica,128.81512441463414,79.51067294097561
Dominican Republic,125.3646923317073,77.95749546219513
Ecuador,121.61981292317073,74.21107479073171
Egypt,127.41864129756098,79.00655162914634
El Salvador,121.8669861695122,74.70763137085366
Equatorial Guinea,128.66781842439025,78.9048581095122
Eritrea,121.71073668414634,76.06633905487804
Estonia,130.92326414512195,82.05115884731708
Ethiopia,123.60318533170732,76.102939045
Fiji,126.52389922439025,74.51734474146342
Finland,129.2452945597561,78.04351190329268
France,127.48402882317073,79.24884205512194
French Polynesia,127.3948792195122,78.5379608345122
Gabon,129.90250401341464,79.3815218714634
Gambia,130.31144565853657,79.05610608292683
Georgia,130.17904210365853,80.36366217719512
Germany,129.79924712926828,79.63083255634146
Ghana,126.2745643780488,78.50870078841463
Greece,124.85765639756099,78.19320024280488
Greenland,130.29082529390243,79.07768612585366
Grenada,126.79999594634145,77.77839371231708
Guatemala,121.64303632682926,74.53078957158537
Guinea,130.38155271585367,78.34466165512195
Guinea Bissau,128.6735153390244,78.39259580487804
Guyana,124.16672805853658,76.77283605658536
Haiti,124.43453337439024,76.88651138817073
Honduras,123.06166537682927,74.51461886439024
Hungary,132.3914224682927,82.53670186963414
Iceland,123.46014035609757,76.24407059353659
India,123.60075779756097,78.18346754304878
Indonesia,125.62897136707318,78.2135723047561
Iran,122.79302785487806,77.61637983012196
Iraq,129.34450847317075,79.67217019414635
Ireland,128.13928802195122,78.76571891085366
Israel,125.5563691390244,79.09932064170731
Italy,128.4714192890244,79.52773906890245
Jamaica,124.38407196341463,77.99908679036585
Japan,125.79835419146342,76.1303060804878
Jordan,123.99568958292683,78.55416134804878
Kazakhstan,128.93173185853658,80.45739935743902
Kenya,125.59481233780488,74.40933517048781
Kiribati,123.34162593414634,76.31441602634146
Kuwait,128.9849911207317,81.74155065841464
Kyrgyzstan,127.10028401829268,80.00095286817074
Lao PDR,121.49145572439024,75.65045622731706
Latvia,132.34924706341465,83.31040893963414
Lebanon,128.25695547682926,78.7486297047561
Lesotho,127.1124894707317,79.00954110646342
Liberia,129.85339760365852,78.8451760462195
Libya,131.8608269597561,79.56850259036585
Lithuania,134.14145705731707,84.13570432085365
Luxembourg,129.98256338048782,80.37104229853658
Macedonia (TFYR),130.76343671341465,80.95322147134146
Madagascar,127.70604801341463,77.94828754536586
Malawi,129.05005140487805,76.75888697268293
Malaysia,126.5314117695122,77.77624821121951
Maldives,123.61322676585365,75.80095193292682
Mali,126.23172921585366,77.65016038
Malta,130.21414080609756,80.44058789402439
Marshall Islands,123.4838013,74.98424202109757
Mauritania,130.04200724512194,79.73050196317074
Mauritius,126.0043078817073,75.54172755939025
Mexico,125.49927769634147,78.96105658280489
Micronesia (Federated States of),124.05736980243903,75.35904531060976
Moldova,130.98182005121953,82.50428901878048
Mongolia,129.57334856585365,80.63917769402438
Montenegro,129.92783492682926,80.53713578743903
Morocco,126.7555515207317,77.67272232329269
Mozambique,130.0430547487805,76.95183168743903
Myanmar,122.54219059634147,75.00267431512195
Namibia,128.61364975121953,79.41476460304878
Nauru,129.33740476951218,77.73511455195121
Nepal,122.13224167073172,78.0342386742683
Netherlands,128.03468362317074,78.16233553463414
New Zealand,125.55419348414632,76.20511304402439
Nicaragua,125.13557723292682,76.00560206658537
Niger,133.0319818682927,79.97675624865853
Nigeria,126.27640190121951,77.75547129292684
Niue,126.26943007804877,75.77095473829269
North Korea,124.9418466109756,79.80552123609756
Norway,131.1646913817073,77.44257790804879
Occupied Palestinian Territory,126.22434941341464,78.68804481768292
Oman,128.44639868292683,79.0906422902439
Pakistan,124.28008988170733,80.16755531914635
Palau,131.0326385780488,79.60303487439025
Panama,124.94763475609757,76.72492300829268
Papua New Guinea,121.27575162682926,72.16622195121951
Paraguay,125.5181420597561,77.81300298414634
Peru,120.77912429268294,73.66662895451219
Philippines,120.8123925012195,76.41059453829268
Poland,131.29829139756097,81.52451929573171
Portugal,128.6158166597561,78.00349292609756
Puerto Rico,124.48362461707316,78.596100325
Qatar,128.32877398536587,80.8744933612195
Romania,129.86225041951218,80.00057671439023
Russian Federation,130.1092815195122,82.70445621524391
Rwanda,124.47702512926828,76.8934945997561
Saint Kitts and Nevis,127.40327488902439,77.44714424621951
Saint Lucia,126.00733443902439,77.91046808621951
Saint Vincent and the Grenadines,125.11865377926829,77.47690528926829
Samoa,124.91796303414634,76.25894989219512
Sao Tome and Principe,132.4820784695122,79.40792000036585
Saudi Arabia,126.09016085731706,78.08536008585367
Senegal,129.77084190609756,79.08093228987805
Serbia,131.66750059390245,81.70757755585366
Seychelles,129.56801082804878,80.44764190719512
Sierra Leone,130.58483986829268,80.16664316743903
Singapore,124.45816982073171,75.73655567926829
Slovakia,128.85119710365854,80.23194823817073
Slovenia,132.2907245585366,80.84243900902439
Solomon Islands,121.30682368536584,71.76272744463415
Somalia,128.62585088536585,78.1262998897561
South Africa,128.64787320487807,81.2026644847561
South Korea,120.1332540597561,76.07546799170731
Spain,125.92797297439024,76.99535879902439
Sri Lanka,123.02227442682927,74.06533801439024
Sudan,126.57941501463415,76.92441114256097
Suriname,126.15129725731707,78.46057364634147
Swaziland,128.2616032207317,80.0468949940244
Sweden,128.39390100731708,78.09310273987805
Switzerland,125.42111638536585,76.73270194634146
Syrian Arab Republic,128.17297762439026,78.02554014719512
Taiwan,119.39179272804877,75.33398101695121
Tajikistan,126.95081194390244,78.7941119992683
Tanzania,126.48034966097562,75.13031258317073
Thailand,120.35985912439024,75.10943323646342
Timor-Leste,123.65798592317073,77.81941116987805
Togo,128.03019773658536,78.10759304414634
Tokelau,122.21338293414634,73.21150086280488
Tonga,126.13081233414634,75.55000280609755
Trinidad and Tobago,122.62762563902439,76.22682667341464
Tunisia,126.89429888780488,76.64393504731707
Turkey,123.80258623902438,77.38645343280488
Turkmenistan,127.64970288902438,80.27577304207317
Tuvalu,127.7656497902439,76.98111558804878
Uganda,124.95186265731706,77.48223780585366
Ukraine,131.7755976317073,83.54288907780487
United Arab Emirates,127.02658199756098,79.38124899634145
United Kingdom,127.7036751792683,74.69044288097561
United States of America,121.33836084878048,74.18571013853658
Uruguay,127.60943327073171,78.53626741280488
Uzbekistan,125.37767327682927,78.15297998756097
Vanuatu,128.12387414756097,75.77327999902438
Venezuela,126.60878376829268,78.75296111085366
Viet Nam,121.38216507560976,75.14528892341464
Yemen,126.07185244634145,77.02022050121951
Zambia,128.6525732487805,77.56522765073171
Zimbabwe,127.71321536097561,79.3251992154878
